Keyword,Search Volume,Competition Level,CPC (RM),Keyword Difficulty,Search Intent,Funnel Stage,Business Value Score,Strategic Fit Score,Search Volume Score,KD Score,Total Priority Score,Priority Tier,Content Type,URL Slug,Hub Assignment,Production Month,Status
"AI SEO Malaysia",N/A,N/A,N/A,N/A,transactional,BOFU,10,10,5,10,35,TIER 1,Service Page,/ai-seo-malaysia/,None (Service),Month 1 Week 1,Pending
"AI SEO agency",20,MEDIUM,3.39,N/A,transactional,BOFU,10,10,2,8,30,TIER 1,Service Page,/ai-seo-agency/,None (Service),Month 1 Week 1,Pending
"100 keywords per month SEO",N/A,N/A,N/A,N/A,transactional,BOFU,10,10,5,10,35,TIER 1,Unique Service Page,/100-keywords-per-month-seo/,None (Service),Month 1 Week 1,Pending
"SEO agency for small business Malaysia",N/A,N/A,N/A,N/A,transactional,BOFU,10,6,5,10,31,TIER 1,Target Market Page,/seo-agency-small-business-malaysia/,None (Service),Month 1 Week 2,Pending
"SEO agency using AI automation Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,10,5,10,35,TIER 1,Positioning Page,/ai-automation-seo-agency/,None (Service),Month 1 Week 2,Pending
"how to optimize for ChatGPT search",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Ultimate Guide,/how-to-optimize-chatgpt-search/,Hub 1: AI Search,Month 1 Week 3,Pending
"how to rank in AI search engines",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,How-To Guide,/how-to-rank-ai-search-engines/,Hub 1: AI Search,Month 1 Week 3,Pending
"Perplexity AI search optimization",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Tutorial,/perplexity-ai-search-optimization/,Hub 1: AI Search,Month 1 Week 3,Pending
"how does AI SEO differ from traditional SEO",N/A,N/A,N/A,N/A,informational,TOFU,6,10,5,10,31,TIER 1,Educational Post,/ai-seo-vs-traditional-seo/,Hub 1: AI Search,Month 1 Week 4,Pending
"Claude Code SEO automation",N/A,N/A,N/A,N/A,informational,TOFU,8,10,5,10,33,TIER 1,Technical Deep-Dive,/claude-code-seo-automation/,Hub 1: AI Search,Month 1 Week 4,Pending
"SEO for SaaS companies Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-for-saas-companies-malaysia/,Hub 3A: SaaS,Month 1 Week 5,Pending
"SEO for law firms Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-for-law-firms-malaysia/,Hub 3B: Legal,Month 1 Week 5,Pending
"SEO for accounting firms Malaysia",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-for-accounting-firms-malaysia/,Hub 3B: Prof Services,Month 1 Week 5,Pending
"SEO for equipment financing companies",N/A,N/A,N/A,N/A,commercial,MOFU,10,8,5,10,33,TIER 1,Vertical Solution Hub,/seo-equipment-financing-companies/,Hub 3C: Finance,Month 1 Week 6,Pending
