Keyword,Search Volume,Competition Level,CPC (RM),Keyword Difficulty,Search Intent,Opportunity Score,Monthly Trend,Category,Priority
"digital marketing malaysia",880,MEDIUM,3.80,19,commercial,HIGH,+23%,Core Service,P1
"SEO marketing",880,LOW,12.94,70,navigational,MEDIUM,-22%,Core Service,P2
"content marketing",720,LOW,3.48,59,informational,MEDIUM,-56%,Core Service,P2
"SEO consultant Malaysia",590,LOW,2.14,N/A,commercial,HIGH,+515%,Core Service,P1
"marketing agency malaysia",590,LOW,3.68,58,navigational,HIGH,+69%,Core Service,P1
"AI SEO agency",20,MEDIUM,3.39,N/A,navigational,HIGH,+100%,AI SEO,P1
"long tail keywords SEO",10,LOW,N/A,N/A,commercial,MEDIUM,STABLE,Long-tail Focus,P2
"content marketing automation",10,N/A,N/A,N/A,commercial,MEDIUM,STABLE,AI Marketing,P2
"digital marketing automation",10,MEDIUM,3.27,N/A,commercial,MEDIUM,STABLE,AI Marketing,P2
"automated SEO services",10,N/A,N/A,N/A,commercial,MEDIUM,LOW,AI SEO,P3
"fast SEO results",10,N/A,N/A,N/A,commercial,MEDIUM,LOW,Service Benefit,P2
"AI SEO Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,GROWING,Local AI SEO,P1
"SEO services Malaysia",N/A,HIGH,N/A,N/A,commercial,MEDIUM,STABLE,Local Service,P2
"how to optimize for ChatGPT search",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search Opt,P1
"Claude Code SEO automation",N/A,N/A,N/A,N/A,informational,HIGH,NEW,Unique Method,P1
"AI content creation services Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,AI Content,P2
"100 keywords per month SEO",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Unique Offer,P1
"best SEO for construction companies",N/A,N/A,N/A,N/A,commercial,MEDIUM,NEW,Vertical,P2
"SEO for equipment financing companies",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"SEO for law firms Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"SEO for accounting firms Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"SEO for SaaS companies Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,NEW,Vertical,P1
"e-commerce SEO Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,STABLE,Vertical,P2
"Perplexity AI search optimization",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search Opt,P1
"how to rank in AI search engines",N/A,N/A,N/A,N/A,informational,HIGH,NEW,AI Search Opt,P1
"AI search vs Google search differences",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,AI Search Edu,P2
"long tail keyword strategy for SMEs",N/A,N/A,N/A,N/A,informational,MEDIUM,NEW,Education,P2
"affordable SEO packages Malaysia",N/A,N/A,N/A,N/A,commercial,MEDIUM,STABLE,Pricing,P2
"SEO agency for small business Malaysia",N/A,N/A,N/A,N/A,commercial,HIGH,STABLE,Target Market,P1
"marketing agencies in malaysia",720,HIGH,3.79,47,navigational,MEDIUM,-46%,Competitive,P3
"branding agency malaysia",720,MEDIUM,2.04,3,navigational,LOW,+23%,Different Service,P3
"social media agency in malaysia",720,LOW,3.14,N/A,navigational,LOW,+650%,Different Service,P3
"best SEO company Malaysia",N/A,HIGH,N/A,N/A,commercial,MEDIUM,STABLE,Competitive,P3
"SEO packages Malaysia",N/A,MEDIUM,N/A,N/A,commercial,MEDIUM,STABLE,Pricing,P2
"SEO price Malaysia",N/A,N/A,N/A,N/A,informational,LOW,STABLE,Research,P3
"4ps of marketing",720,LOW,0.60,46,informational,LOW,+49%,Educational,P3
"marketing mix 4ps",880,LOW,0.73,19,informational,LOW,-55%,Educational,P3
"what is marketing",880,LOW,0.03,64,informational,LOW,-55%,Educational,P3
"what is digital marketing",720,LOW,0.56,63,informational,LOW,-45%,Educational,P3
"marketing plan",880,LOW,1.89,50,informational,LOW,-45%,Educational,P3
"guerilla marketing",880,LOW,0.02,34,commercial,LOW,-33%,Different Strategy,P3
"influencer marketing",590,LOW,3.23,68,commercial,LOW,-33%,Different Service,P3
"google adwords",880,LOW,1.31,82,navigational,LOW,-32%,Platform,P3
"online marketing",590,MEDIUM,5.98,56,navigational,LOW,-56%,Generic,P3
"marketing definition",590,LOW,1.13,47,informational,LOW,-55%,Educational,P3
"advertising agency",720,MEDIUM,1.80,6,navigational,LOW,-46%,Different Service,P3
