keyword,search_volume,difficulty,intent,topic_cluster,priority,word_count,estimated_cpc,competition
AI SEO agency,20,35,navigational,AI Search Optimization,HIGH,3,3.39,MEDIUM
best SEO company in Malaysia,260,7,commercial,SEO Agency Malaysia,HIGH,5,6.63,LOW
SEO consultant Malaysia,590,40,navigational,SEO Agency Malaysia,HIGH,3,2.14,LOW
malaysia SEO consultant,590,13,navigational,SEO Agency Malaysia,HIGH,3,4.4,LOW
digital marketing seo,140,63,commercial,SEO Services,MEDIUM,3,3.28,LOW
seo marketing agency,70,0,navigational,SEO Agency Malaysia,MEDIUM,3,4.53,LOW
digital agency malaysia,210,35,navigational,SEO Agency Malaysia,MEDIUM,3,1.79,MEDIUM
ecommerce seo services,40,0,navigational,Vertical SEO - E-commerce,HIGH,3,0,LOW
best seo agency,50,0,navigational,SEO Agency Malaysia,MEDIUM,3,11.72,LOW
seo consultant,390,19,navigational,SEO Services,MEDIUM,2,14.81,LOW
seo digital marketing agency,20,0,commercial,SEO Agency Malaysia,MEDIUM,4,0,LOW
seo digital marketing company,20,0,commercial,SEO Agency Malaysia,MEDIUM,4,0,LOW
sem and seo marketing,390,26,navigational,SEO Services,MEDIUM,4,3.45,LOW
near me digital marketing agency,110,0,navigational,Local SEO Malaysia,MEDIUM,5,4.22,MEDIUM
google seo agency,30,0,navigational,SEO Agency Malaysia,LOW,3,0,MEDIUM
seo malaysia agency,20,48,navigational,SEO Agency Malaysia,MEDIUM,3,0,LOW
global seo company,20,0,navigational,SEO Services,LOW,3,0,LOW
seo and digital marketing company,20,0,navigational,SEO Agency Malaysia,MEDIUM,5,8.02,LOW
seo writing,70,65,informational,Content Marketing,MEDIUM,2,1.72,LOW
search engine marketing malaysia,210,19,commercial,SEO Agency Malaysia,HIGH,4,0,LOW
seo ads,30,0,navigational,SEO Services,LOW,2,4.15,MEDIUM
seo content writing,50,66,informational,Content Marketing,HIGH,3,0.72,MEDIUM
seo pricing packages,50,0,commercial,SEO Agency Malaysia,HIGH,3,4.39,LOW
local seo marketing services,20,0,navigational,Local SEO Malaysia,HIGH,4,0,LOW
what is seo marketing,70,59,informational,SEO Education,MEDIUM,4,0.09,LOW
seo strategy,110,80,commercial,SEO Strategy,MEDIUM,2,1.09,LOW
seo copywriting,30,0,informational,Content Marketing,MEDIUM,2,1.15,LOW
seo company singapore,50,0,commercial,SEO Services,LOW,3,18.11,LOW
seo services ecommerce,40,0,commercial,Vertical SEO - E-commerce,HIGH,3,0,LOW
seo marketing basics,30,0,commercial,SEO Education,MEDIUM,3,0.72,MEDIUM
seo for law firms,20,0,navigational,Vertical SEO - Professional Services,HIGH,4,1.78,LOW
seo agency for law firms,10,0,navigational,Vertical SEO - Professional Services,HIGH,5,0,0
best seo companies for law firms,10,0,commercial,Vertical SEO - Professional Services,HIGH,5,0,LOW
local seo for law firms,10,0,navigational,Vertical SEO - Professional Services,HIGH,4,0,LOW
seo agency for small business,10,0,commercial,SEO for Small Business,HIGH,5,0,LOW
best seo agency for small business,10,0,commercial,SEO for Small Business,HIGH,6,0,0
email marketing examples,170,26,informational,Content Marketing,MEDIUM,3,11.14,LOW
digital marketing examples,110,43,commercial,Content Marketing,MEDIUM,3,0.52,LOW
content marketing examples,70,27,informational,Content Marketing,MEDIUM,3,0.46,LOW
content marketing strategy,50,74,commercial,Content Marketing,HIGH,3,2.38,LOW
content marketing meaning,40,66,informational,Content Marketing,MEDIUM,3,0,LOW
content marketing strategy examples,10,0,informational,Content Marketing,HIGH,4,0,LOW
content marketing strategy framework,10,0,commercial,Content Marketing,HIGH,4,0,0
content marketing strategy template,10,0,commercial,Content Marketing,MEDIUM,4,0,MEDIUM
content marketing strategy pdf,10,0,commercial,Content Marketing,LOW,4,0,0
best content marketing strategy,10,0,commercial,Content Marketing,MEDIUM,4,0,LOW
content strategy in digital marketing,10,0,commercial,Content Marketing,MEDIUM,5,0,0
content strategy template,10,0,commercial,Content Marketing,LOW,3,0.77,HIGH
examples of content marketing on social media,10,0,informational,Content Marketing,MEDIUM,7,0,LOW
digital content marketing examples,10,0,commercial,Content Marketing,MEDIUM,4,0,0
organic content marketing examples,10,0,commercial,Content Marketing,LOW,4,0,0
content marketing strategy examples pdf,10,0,commercial,Content Marketing,LOW,5,0,0
b2c content marketing examples,0,0,commercial,Content Marketing,LOW,4,0,0
seo agency kuala lumpur,90,71,commercial,Local SEO Malaysia,HIGH,4,0,LOW
local seo services malaysia,20,0,navigational,Local SEO Malaysia,HIGH,4,0,LOW
why my website is not ranking in google,0,0,informational,Problem-Solution SEO,HIGH,7,0,0
free keyword research tools,140,90,commercial,SEO Tools & Resources,MEDIUM,4,3.04,LOW
keyword research tools free,110,90,navigational,SEO Tools & Resources,MEDIUM,4,1.77,MEDIUM
free tools for keyword research,110,90,commercial,SEO Tools & Resources,MEDIUM,5,1.77,MEDIUM
tools for keyword research,70,100,commercial,SEO Tools & Resources,MEDIUM,4,1.71,MEDIUM
keyword research tools,70,100,commercial,SEO Tools & Resources,MEDIUM,3,1.71,MEDIUM
keyword research tools google,20,0,navigational,SEO Tools & Resources,LOW,4,2.61,MEDIUM
keyword research tools for seo free,10,0,commercial,SEO Tools & Resources,MEDIUM,6,0,0
top 5 keyword research tools,10,0,transactional,SEO Tools & Resources,LOW,5,0,0
local keyword research tools,10,0,commercial,SEO Tools & Resources,MEDIUM,4,0,LOW
best keyword research tools for seo,10,0,commercial,SEO Tools & Resources,MEDIUM,6,0,LOW
tools to do keyword research,10,0,informational,SEO Tools & Resources,LOW,5,0,0
seo keyword research tools,10,0,commercial,SEO Tools & Resources,MEDIUM,4,3.99,LOW
keyword research tools in seo,10,0,informational,SEO Tools & Resources,LOW,5,0,LOW
best keyword research tools free,10,0,commercial,SEO Tools & Resources,MEDIUM,5,0,LOW
google research keyword tools,10,100,navigational,SEO Tools & Resources,LOW,4,0,0
free seo tools for keyword research,10,0,commercial,SEO Tools & Resources,MEDIUM,6,0,LOW
best seo tools for keyword research,10,0,commercial,SEO Tools & Resources,MEDIUM,6,0,0
top 5 free keyword research tools,10,0,commercial,SEO Tools & Resources,LOW,6,0,0
how to use keyword research tools,10,0,informational,SEO Tools & Resources,MEDIUM,6,0,0
top keyword research tools,10,0,commercial,SEO Tools & Resources,LOW,4,0,LOW
what are keyword research tools,10,0,informational,SEO Tools & Resources,LOW,5,0,0
ai keyword research tools,10,0,commercial,AI Search Optimization,HIGH,4,0,0
keyword research paid tools,10,0,navigational,SEO Tools & Resources,LOW,4,0,0
ppc keyword research tools,10,0,transactional,SEO Tools & Resources,LOW,4,0,MEDIUM
keyword research best tools,10,0,commercial,SEO Tools & Resources,LOW,4,0,0
keyword research tools for seo,10,0,commercial,SEO Tools & Resources,MEDIUM,5,3.99,LOW
top 10 free keyword research tools,10,0,commercial,SEO Tools & Resources,LOW,6,0,0
best keyword research tools,10,82,commercial,SEO Tools & Resources,MEDIUM,4,0,LOW
popular keyword research tools,10,0,commercial,SEO Tools & Resources,LOW,4,0,LOW
